wrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,inside_val_regions,inside_hassi,inside_marcellus,inside_permian,ls_cloud_perc,ls_cloud_shadow_perc,ls_nodata_perc
174_036,2022-05-10,2022-05-10T08:10:11.949737+00:00,LC08_L1TP_174036_20220510_20220518_02_T1,0.6,True,3.657,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_036,2022-11-18,2022-11-18T08:10:49.212585+00:00,LC08_L1TP_174036_20221118_20221128_02_T1,9.39,False,3.673,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_036,2022-12-04,2022-12-04T08:10:52.042354+00:00,LC08_L1TP_174036_20221204_20230112_02_T1,33.92,False,3.647,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_036,2023-01-05,2023-01-05T08:10:43.111522+00:00,LC08_L1TP_174036_20230105_20230110_02_T1,9.3,True,4.021,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_036,2023-03-10,2023-03-10T08:10:17.209224+00:00,LC08_L1TP_174036_20230310_20230320_02_T1,5.53,False,4.008,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_036,2023-05-13,2023-05-13T08:09:35.838590+00:00,LC08_L1TP_174036_20230513_20230518_02_T1,34.85,False,3.641,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_036,2023-06-30,2023-06-30T08:09:54.219903+00:00,LC08_L1TP_174036_20230630_20230711_02_T1,8.01,True,3.999,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_036,2023-11-05,2023-11-05T08:10:29.902541+00:00,LC08_L1TP_174036_20231105_20231110_02_T1,0.02,False,3.669,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_036,2024-06-24,2024-06-24T08:09:20.772678+00:00,LC09_L1TP_174036_20240624_20240624_02_T1,7.09,True,3.686,Middle East,"POLYGON Z ((35.354 35.558 6999.999999999999, 37.442 35.255 6999.999999999999, 36.971 33.657 6999.999999999999, 34.921 33.955 6999.999999999999, 35.354 35.558 6999.999999999999))",False,False,False,False,,,
174_038,2022-02-03,2022-02-03T08:11:14.336808+00:00,LC08_L1TP_174038_20220203_20220212_02_T1,0.67,False,4.016,Middle East,"POLYGON Z ((34.589 32.686 6999.999999999999, 36.608 32.393 6999.999999999999, 36.16 30.792 6999.999999999999, 34.175 31.081 6999.999999999999, 34.589 32.686 6999.999999999999))",False,False,False,False,,,
