mgrs,date,datetime,ID,cloud_percent
50MKB,2023-02-19,2023-02-19T02:48:43.263000+00:00,S2B_50MKB_20230219_0_L1C,32.3448831636587
50MLB,2022-05-10,2022-05-10T02:48:44.639000+00:00,S2A_50MLB_20220510_0_L1C,48.5784667966531
50NKF,2022-02-04,2022-02-04T02:47:40.482000+00:00,S2B_50NKF_20220204_0_L1C,39.9391233453494
50NLF,2022-02-14,2022-02-14T02:47:36.881000+00:00,S2B_50NLF_20220214_0_L1C,19.5083758846188
50NMF,2023-10-27,2023-10-27T02:47:40.394000+00:00,S2B_50NMF_20231027_0_L1C,22.5746077317002
50QRL,2022-01-10,2022-01-10T02:41:24.924000+00:00,S2A_50QRL_20220110_0_L1C,0.7964
50RKV,2022-05-04,2022-05-04T03:09:15.218000+00:00,S2B_50RKV_20220504_0_L1C,0.0
50RQV,2023-09-10,2023-09-10T02:49:14.927000+00:00,S2B_50RQV_20230910_0_L1C,0.0486726984980143
50SKF,2023-08-10,2023-08-10T03:17:55.403000+00:00,S2B_50SKF_20230810_0_L1C,21.411060348174
50SKJ,2022-08-10,2022-08-10T03:17:18.678000+00:00,S2A_50SKJ_20220810_0_L1C,19.4222328438226
50SLC,2023-08-22,2023-08-22T03:08:39.181000+00:00,S2A_50SLC_20230822_0_L1C,1.39848905610798
50SNA,2022-02-25,2022-02-25T02:59:01.659000+00:00,S2A_50SNA_20220225_0_L1C,0.0
50SPC,2023-11-02,2023-11-02T02:58:29.306000+00:00,S2B_50SPC_20231102_0_L1C,0.0
50SPD,2022-03-07,2022-03-07T02:58:16.065000+00:00,S2A_50SPD_20220307_0_L1C,5.18447848547284
50TKK,2022-10-22,2022-10-22T03:26:53.608000+00:00,S2A_50TKK_20221022_0_L1C,0.162411006735455
50TLL,2022-01-27,2022-01-27T03:16:27.978000+00:00,S2B_50TLL_20220127_0_L1C,19.8307503956523
50TLS,2022-05-25,2022-05-25T03:25:11.842000+00:00,S2A_50TLS_20220525_0_L1C,43.8328406342381
50TLT,2022-04-10,2022-04-10T03:24:47.113000+00:00,S2B_50TLT_20220410_0_L1C,29.9852488876945
50TPK,2022-10-11,2022-10-11T03:06:39.663000+00:00,S2B_50TPK_20221011_0_L1C,0.0
50TPN,2023-02-23,2023-02-23T03:05:55.200000+00:00,S2A_50TPN_20230223_0_L1C,34.9869807996656
50TPT,2022-01-04,2022-01-04T03:04:40.937000+00:00,S2B_50TPT_20220104_0_L1C,35.4044
50TQM,2023-06-08,2023-06-08T03:06:13.242000+00:00,S2B_50TQM_20230608_0_L1C,27.2380846791138
50UPU,2023-06-01,2023-06-01T03:14:31.104000+00:00,S2B_50UPU_20230601_0_L1C,27.1662635492251
51KVU,2022-11-11,2022-11-11T02:03:05.403000+00:00,S2A_51KVU_20221111_0_L1C,0.0
51KXA,2022-07-29,2022-07-29T02:02:31.037000+00:00,S2B_51KXA_20220729_0_L1C,0.0
51KXV,2023-02-14,2023-02-14T02:02:39.066000+00:00,S2B_51KXV_20230214_0_L1C,1.20033443817373
51MUT,2022-12-22,2022-12-22T02:18:18.674000+00:00,S2B_51MUT_20221222_0_L1C,15.570486050753
51PXN,2023-11-02,2023-11-02T02:14:30.367000+00:00,S2A_51PXN_20231102_0_L1C,12.6105190617567
51TUK,2023-09-08,2023-09-08T02:55:30.479000+00:00,S2A_51TUK_20230908_0_L1C,12.7311654573143
51TVJ,2023-06-25,2023-06-25T02:55:40.061000+00:00,S2B_51TVJ_20230625_0_L1C,0.00773388276747589
51TVM,2023-10-28,2023-10-28T02:54:54.058000+00:00,S2A_51TVM_20231028_1_L1C,1.69968864727608
51TWE,2022-05-18,2022-05-18T02:46:32.784000+00:00,S2B_51TWE_20220518_0_L1C,0.482874973872018
51TXE,2023-01-05,2023-01-05T02:36:32.328000+00:00,S2A_51TXE_20230105_0_L1C,5.44507151602019
51TXF,2023-10-22,2023-10-22T02:36:18.837000+00:00,S2A_51TXF_20231022_0_L1C,0.0548811866202513
51TXG,2023-06-04,2023-06-04T02:36:08.109000+00:00,S2A_51TXG_20230604_0_L1C,0.974056792427676
51TYK,2022-11-21,2022-11-21T02:35:17.029000+00:00,S2B_51TYK_20221121_0_L1C,0.0072262533966377
51TYN,2022-08-01,2022-08-01T02:44:40.609000+00:00,S2A_51TYN_20220801_0_L1C,0.495416405386843
52JGT,2022-06-22,2022-06-22T01:24:27.859000+00:00,S2A_52JGT_20220622_0_L1C,0.0417387211219074
52TCM,2023-04-02,2023-04-02T02:25:59.364000+00:00,S2A_52TCM_20230402_0_L1C,0.147063952946024
52TCN,2023-12-26,2023-12-26T02:35:44.108000+00:00,S2B_52TCN_20231226_0_L1C,40.4815909701693
52TCQ,2022-10-02,2022-10-02T02:35:13.037000+00:00,S2B_52TCQ_20221002_0_L1C,1.74185553465317
52TCS,2023-12-26,2023-12-26T02:34:46.737000+00:00,S2B_52TCS_20231226_0_L1C,2.69177939024754
52TDQ,2022-07-21,2022-07-21T02:25:18.407000+00:00,S2B_52TDQ_20220721_0_L1C,41.1736303013573
52TDT,2022-09-27,2022-09-27T02:34:34.326000+00:00,S2A_52TDT_20220927_0_L1C,0.22464092687151
52TEM,2023-05-19,2023-05-19T02:15:58.287000+00:00,S2A_52TEM_20230519_0_L1C,36.457514682505
52TFQ,2023-03-08,2023-03-08T02:25:09.279000+00:00,S2B_52TFQ_20230308_0_L1C,42.8493895754596
52TFR,2023-05-14,2023-05-14T02:14:58.256000+00:00,S2B_52TFR_20230514_0_L1C,32.156893447115
52TGR,2022-07-13,2022-07-13T02:15:04.372000+00:00,S2A_52TGR_20220713_0_L1C,15.0817283287049
53JKN,2023-02-17,2023-02-17T01:24:08.825000+00:00,S2A_53JKN_20230217_0_L1C,0.105005764522624
53MKS,2023-04-29,2023-04-29T01:38:15.210000+00:00,S2B_53MKS_20230429_0_L1C,47.4880109886829
53MKV,2022-01-29,2022-01-29T01:37:30.090000+00:00,S2A_53MKV_20220129_0_L1C,47.3657917525157
53SQV,2023-06-04,2023-06-04T01:47:27.673000+00:00,S2B_53SQV_20230604_0_L1C,26.2795425115566
54JTP,2022-10-26,2022-10-26T00:55:02.261000+00:00,S2B_54JTP_20221026_0_L1C,2.01424348293469
54JTS,2022-11-05,2022-11-05T00:54:17.371000+00:00,S2B_54JTS_20221105_0_L1C,0.0
54JUN,2022-06-23,2022-06-23T00:55:26.875000+00:00,S2A_54JUN_20220623_0_L1C,0.0
54JVN,2023-05-11,2023-05-11T00:45:17.877000+00:00,S2B_54JVN_20230511_0_L1C,0.555674997760459
54JVS,2022-05-04,2022-05-04T00:54:17.832000+00:00,S2A_54JVS_20220504_0_L1C,0.0
54JWN,2022-07-25,2022-07-25T00:45:17.126000+00:00,S2B_54JWN_20220725_0_L1C,8.40885066738332
54JYP,2023-07-12,2023-07-12T00:34:59.722000+00:00,S2A_54JYP_20230712_0_L1C,0.0
54LYR,2021-12-10,2021-12-10T00:49:21.580000+00:00,S2B_54LYR_20211210_0_L1C,40.6697
54MYS,2022-05-29,2022-05-29T00:49:12.549000+00:00,S2B_54MYS_20220529_0_L1C,48.1639642867807
54MZU,2023-02-18,2023-02-18T00:48:37.067000+00:00,S2A_54MZU_20230218_0_L1C,44.4511929290215
54SUE,2023-12-03,2023-12-03T01:37:14.663000+00:00,S2A_54SUE_20231203_0_L1C,1.5688136402998
54SWJ,2022-01-29,2022-01-29T01:26:20.814000+00:00,S2A_54SWJ_20220129_0_L1C,13.8578513820511
54TWK,2022-07-31,2022-07-31T01:36:12.502000+00:00,S2A_54TWK_20220731_0_L1C,0.301979754546269
