mgrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,OG_producing,overlapping_area,omni_nodata_perc,omni_cloud_perc,omni_cloud_shadow_perc
39RWJ,2024-02-15,2024-02-15T06:59:59.024000+00:00,S2B_MSIL2A_20240215T065959_N0510_R063_T39RWJ_20240215T111936,12.329064,False,93.683,Middle East,"POLYGON Z ((50.9997997809 26.2199293963 0, 52.0989216411 26.2157296884 0, 52.08984888869999 25.2243945406 0, 50.9998014344 25.2284131529 0, 50.9997997809 26.2199293963 0))",True,2184703219.5977216,76.53624241459053,8.319315610859729,0.23631221719457013
39RWJ,2025-02-02,2025-02-02T07:10:19.024000+00:00,S2B_MSIL2A_20250202T071019_N0511_R106_T39RWJ_20250202T091154,0.066221,True,0.0,Middle East,"POLYGON Z ((50.9997997809 26.2199293963 0, 52.0989216411 26.2157296884 0, 52.08984888869999 25.2243945406 0, 50.9998014344 25.2284131529 0, 50.9997997809 26.2199293963 0))",True,2184703219.5977216,0.0,0.3640996546129575,0.45371116884151014
39RWM,2016-07-24,2016-07-24T07:06:22.026000+00:00,S2A_MSIL2A_20160724T070622_N0212_R106_T39RWM_20210212T072947,2.589265,False,0.0,Middle East,"POLYGON Z ((50.9997948025 28.9282827332 0, 52.1262391205 28.9235723083 0, 52.1157964314 27.9326276748 0, 50.9997967056 27.9371483204 0, 50.9997948025 28.9282827332 0))",True,3105882285.1292834,0.0,2.639304448226781,0.9461614261399266
39RWM,2016-11-01,2016-11-01T07:10:32.026000+00:00,S2A_MSIL2A_20161101T071032_N0212_R106_T39RWM_20210213T161732,32.24349,True,0.0,Middle East,"POLYGON Z ((50.9997948025 28.9282827332 0, 52.1262391205 28.9235723083 0, 52.1157964314 27.9326276748 0, 50.9997967056 27.9371483204 0, 50.9997948025 28.9282827332 0))",True,3105882285.1292834,0.0,24.156827615037773,1.8257603657585741
39RWM,2019-09-27,2019-09-27T07:06:41.024000+00:00,S2A_MSIL2A_20190927T070641_N0212_R106_T39RWM_20201004T173616,6.923909,False,0.0,Middle East,"POLYGON Z ((50.9997948025 28.9282827332 0, 52.1262391205 28.9235723083 0, 52.1157964314 27.9326276748 0, 50.9997967056 27.9371483204 0, 50.9997948025 28.9282827332 0))",True,3105882285.1292834,0.0,8.957073798693434,2.1670299700399136
39RWM,2021-01-24,2021-01-24T07:11:59.024000+00:00,S2B_MSIL2A_20210124T071159_N0212_R106_T39RWM_20210124T150104,1.003165,False,0.0,Middle East,"POLYGON Z ((50.9997948025 28.9282827332 0, 52.1262391205 28.9235723083 0, 52.1157964314 27.9326276748 0, 50.9997967056 27.9371483204 0, 50.9997948025 28.9282827332 0))",True,3105882285.1292834,0.0,0.0848238725153533,0.0
39RWM,2021-01-29,2021-01-29T07:11:41.024000+00:00,S2A_MSIL2A_20210129T071141_N0212_R106_T39RWM_20210129T220958,54.375165,True,0.0,Middle East,"POLYGON Z ((50.9997948025 28.9282827332 0, 52.1262391205 28.9235723083 0, 52.1157964314 27.9326276748 0, 50.9997967056 27.9371483204 0, 50.9997948025 28.9282827332 0))",True,3105882285.1292834,0.0,35.60211147275557,7.113115085882264
39RWM,2023-01-14,2023-01-14T07:12:39.024000+00:00,S2B_MSIL2A_20230114T071239_N0400_R106_T39RWM_20230114T201553,86.386973,False,0.0,Middle East,"POLYGON Z ((50.9997948025 28.9282827332 0, 52.1262391205 28.9235723083 0, 52.1157964314 27.9326276748 0, 50.9997967056 27.9371483204 0, 50.9997948025 28.9282827332 0))",True,3105882285.1292834,0.0,82.67962282805964,7.762621889111184
39RWM,2023-02-23,2023-02-23T07:08:59.025000+00:00,S2B_MSIL2A_20230223T070859_N0400_R106_T39RWM_20230225T071354,0.047976,False,0.0,Middle East,"POLYGON Z ((50.9997948025 28.9282827332 0, 52.1262391205 28.9235723083 0, 52.1157964314 27.9326276748 0, 50.9997967056 27.9371483204 0, 50.9997948025 28.9282827332 0))",True,3105882285.1292834,0.0,0.03727592144684324,0.0013171820929592138
39RWM,2024-10-20,2024-10-20T07:09:21.024000+00:00,S2A_MSIL2A_20241020T070921_N0511_R106_T39RWM_20241020T111553,0.208234,True,0.0,Middle East,"POLYGON Z ((50.9997948025 28.9282827332 0, 52.1262391205 28.9235723083 0, 52.1157964314 27.9326276748 0, 50.9997967056 27.9371483204 0, 50.9997948025 28.9282827332 0))",True,3105882285.1292834,0.0,0.4233794844741723,0.02042461703843053
