plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
emi20240130t051816p04010-A,37.95993933284768,113.26990402345172,2024-01-30T05:18:16+00,Coal Mining (1B1a),CH4,mfa,"[113.24294919267017, 37.93839915204628, 113.31251817314988, 37.99324579148435]",emi,2024-03-01 21:49:36.220127+00:00,,,,,7245.704086295034,640.8893348004171,6.203703703703703,0.5487234218529274,243.0003047798862,2.1604388616364156,openmeteo,ISS,NASA-JPL EMIT
emi20240130t051816p04010-B,37.893773319333604,113.0050356608038,2024-01-30T05:18:16+00,Coal Mining (1B1a),CH4,mfa,"[112.9778606343282, 37.87254963414105, 113.0467762899135, 37.92693006885768]",emi,2024-03-01 21:49:36.248318+00:00,,,,,4932.917230200911,287.03499879664224,5.1759259259259265,0.3011751105053811,221.66670428043918,1.2472560687808596,openmeteo,ISS,NASA-JPL EMIT
emi20240130t051816p04010-C,37.939651228891904,113.02272634417778,2024-01-30T05:18:16+00,Coal Mining (1B1a),CH4,mfa,"[112.99042778112661, 37.91736143862177, 113.05998466033103, 37.97221424349515]",emi,2024-03-01 21:49:36.461146+00:00,,,,,4975.011717751659,526.1760620391532,4.833333333333333,0.5111916200682317,222.33309255017159,1.8857457376608087,openmeteo,ISS,NASA-JPL EMIT
emi20240130t051816p04010-D,37.967762487639604,113.43674894297055,2024-01-30T05:18:16+00,Coal Mining (1B1a),CH4,mfa,"[113.40541641879334, 37.947502498218064, 113.47498936022797, 38.002345460750895]",emi,2024-03-01 21:49:36.490880+00:00,,,,,5276.196449558817,318.47576529213376,5.611111111111111,0.33869150292910927,238.99847470611664,3.5598846830311963,openmeteo,ISS,NASA-JPL EMIT
emi20240130t051816p04010-E,37.95160872515683,113.22478989095725,2024-01-30T05:18:16+00,Coal Mining (1B1a),CH4,mfa,"[113.19595816551531, 37.92790260124832, 113.26671952637942, 37.98322424590549]",emi,2024-03-01 21:49:36.553474+00:00,,,,,6356.614420049644,583.6243238510314,5.361111111111111,0.4922234762963706,237.33380372044834,2.35727194210495,openmeteo,ISS,NASA-JPL EMIT
emi20240130t112610p08006-A,28.600979540509528,7.258244091190676,2024-01-30T11:26:10+00,Oil & Gas (1B2),CH4,mfa,"[7.214714307383393, 28.581856219910357, 7.28088039754461, 28.639942890317812]",emi,2024-02-22 17:50:52.859930+00:00,,,,,3066.9544584279797,109.76662740351894,8.074074074074074,0.2889719728579116,125.00010156234283,1.4142674144356115,openmeteo,ISS,NASA-JPL EMIT
emi20240130t112610p08006-B,28.68424639714553,7.1938625911159875,2024-01-30T11:26:10+00,Oil & Gas (1B2),CH4,mfa,"[7.160032320533673, 28.655100289553587, 7.226821820631407, 28.7136931717172]",emi,2024-02-28 03:33:09.598111+00:00,,,,,3550.4029832017513,111.93382442462753,7.7592592592592595,0.24462675580783155,127.6669074498284,1.8857457376608087,openmeteo,ISS,NASA-JPL EMIT
emi20240130t124240p08050-A,-20.562943853046832,-54.65866826661784,2024-01-30T12:42:40+00,Solid Waste (6A),CH4,mfa,"[-54.68538865239959, -20.5950977668387, -54.620510190907986, -20.534877385570354]",emi,2024-03-01 21:49:36.160272+00:00,,,,,3619.1682816538546,140.32837031117225,3.574074074074074,0.13857990321384994,287.32956305530234,4.716040775500181,openmeteo,ISS,NASA-JPL EMIT
emi20240131t151130p10004-A,9.539159347058586,-73.50280251641182,2024-01-31T15:11:30+00,Coal Mining (1B1a),CH4,mfa,"[-73.52793964394384, 9.51428220115519, -73.46522506970636, 9.576128493641459]",emi,2024-02-21 17:34:45.740433+00:00,,,,,1262.5600252501868,523.2319779069749,1.0555555555555554,0.437444881889545,195.65632025634264,21.061564179015956,openmeteo,ISS,NASA-JPL EMIT
emi20240201t082310p06029-A,37.76957500520433,53.914578309508215,2024-02-01T08:23:10+00,Oil & Gas (1B2),CH4,mfa,"[53.86351017945282, 37.734613345939756, 53.933230072037595, 37.78973106422342]",emi,2024-02-28 03:30:46.006874+00:00,,,,,13062.116958688079,804.879781664342,5.157407407407407,0.3177963389209354,61.33550638380894,6.554321084856709,openmeteo,ISS,NASA-JPL EMIT
emi20240201t082310p06029-B,37.737247924721515,53.928444411952455,2024-02-01T08:23:10+00,Oil & Gas (1B2),CH4,mfa,"[53.88655485167681, 37.70975961150214, 53.95685046648429, 37.765825922438104]",emi,2024-02-28 03:30:46.046839+00:00,,,,,3590.7807909141966,107.06781395526009,5.342592592592593,0.15930231976004883,58.00000000000001,4.083779537410406,openmeteo,ISS,NASA-JPL EMIT
emi20240201t082310p06029-C,37.71646507549865,53.92515884091432,2024-02-01T08:23:10+00,Oil & Gas (1B2),CH4,mfa,"[53.87650181592355, 37.68237935815506, 53.946771991963786, 37.7384461016116]",emi,2024-02-28 03:30:46.076033+00:00,,,,,4253.686933894627,126.83396391518501,5.342592592592593,0.15930231976004883,58.00000000000001,4.083779537410406,openmeteo,ISS,NASA-JPL EMIT
