,lat,lon,date
2265,39.97678990042608,61.68427091617663,2023-09-20
2267,29.633412120543028,32.300423572542016,2023-09-20
2272,38.533476738164886,65.91983025170687,2023-09-21
2273,38.47544024694538,65.95633815448919,2023-09-21
2274,38.53929313373197,65.93222486981222,2023-09-21
2275,38.53403820602519,65.91537958213782,2023-09-21
2276,38.531884209289686,65.93307085693884,2023-09-21
2282,38.8554388886903,54.23516709818979,2023-09-21
2283,38.64872339894639,54.282474818854645,2023-09-21
2284,39.46168058655719,53.775803632549945,2023-09-21
2285,38.68056482889848,54.31611000457046,2023-09-21
2286,37.76516994233632,53.92486211524707,2023-09-21
2290,36.45200367295407,61.58848909122424,2023-09-22
2291,36.47462213472152,61.45681915350709,2023-09-22
2293,32.26324034251699,-101.9834403236939,2023-09-22
2294,32.43431932225986,-101.83125941064776,2023-09-22
2301,38.66233060663078,64.77449769262236,2023-09-24
2303,30.99541572931431,49.946615082234246,2023-09-24
2304,39.46187999844149,53.7749980373348,2023-09-24
2316,32.36422153637541,-101.32752944778194,2023-09-24
2324,40.04911372234344,61.044697881168254,2023-09-25
2325,39.97633686896648,61.68404539461656,2023-09-25
2327,31.77831598058855,5.994891991533662,2023-09-25
2343,38.64903519754642,54.2809956586368,2023-09-26
2344,38.855249373008846,54.235504134970775,2023-09-26
2345,39.46151722384311,53.77509983676616,2023-09-26
2346,38.68038163642704,54.31621646791091,2023-09-26
2360,40.04911767813954,61.04493221503106,2023-09-27
2361,39.97651036967408,61.6834565376168,2023-09-27
2362,37.89712877259597,63.2465880932258,2023-09-27
2369,32.43449679475808,-101.831146891638,2023-09-27
2375,33.61449844066685,42.58896887828471,2023-09-28
2377,31.77777787712985,5.99476908395183,2023-09-28
2381,38.734804743312175,64.61741268488161,2023-09-29
2396,39.46301672379796,53.7764378480456,2023-09-29
2408,40.04902565561075,61.04481762174618,2023-09-30
2409,39.97651169960044,61.6835736178179,2023-09-30
2412,31.77803824001745,5.99519968857762,2023-09-30
2416,38.68110137424858,54.31624972015498,2023-10-01
2417,38.55828732688491,54.20412107127778,2023-10-01
2418,38.33061477448823,54.02855995217551,2023-10-01
2419,39.3589329449358,53.8003928657219,2023-10-01
2420,37.92892287262542,53.91610013198175,2023-10-01
2421,38.648810146944896,54.28259365793296,2023-10-01
2422,38.85491819833244,54.2344522240554,2023-10-01
2427,36.47318743742473,61.45740566446893,2023-10-02
2428,40.04857740993911,61.04494765584728,2023-10-02
2429,38.57673130665764,62.783136130352055,2023-10-02
2430,37.89730831678449,63.24692991219205,2023-10-02
2431,39.97732503015734,61.68379222346904,2023-10-02
2459,31.777249701422548,5.9942242945383,2023-10-03
2467,38.73462617145896,64.61729361091062,2023-10-04
2474,7.592561517493119,102.98890291059122,2023-10-05
2476,31.777682814697357,5.994977120747278,2023-10-05
2483,39.50714753165107,53.58968078353141,2023-10-06
2484,38.6812011153663,54.31590954483544,2023-10-06
2485,38.85553524135741,54.234941045946016,2023-10-06
2499,40.04910185211355,61.04399487985791,2023-10-07
2500,36.47291419330517,61.457187856351695,2023-10-07
2509,29.01961486420782,47.59190907377962,2023-10-07
2510,30.35112890442187,46.84030527132989,2023-10-07
2520,36.30867944051114,43.08955430868815,2023-10-08
2523,31.77803575728633,5.9953051602754135,2023-10-08
2554,32.43431397307647,-101.8310469878223,2023-10-09
2555,32.36330838539274,-101.32814356107316,2023-10-09
2567,31.7780432052182,5.994988745142995,2023-10-10
2575,38.47478093933761,65.95390445893366,2023-10-11
2576,38.55874664146668,54.20379727927201,2023-10-11
2577,38.854886294897256,54.23560287717893,2023-10-11
2578,38.33116066693547,54.028353937082805,2023-10-11
